Kanton,Stadt,1850,1860,1870,1880,1888,1900,1910,1920,1930,1941,1950,1960,1970,1980,1990,2000
BS,Basel  2),27844.0,38692.0,44868.0,61737.0,71131.0,109161.0,132276.0,135976.0,148063.0,162105.0,183543.0,206746.0,212857.0,182143.0,178428.0,166558.0
BS,Bettingen,279.0,340.0,387.0,432.0,472.0,490.0,457.0,505.0,574.0,441.0,553.0,765.0,1062.0,1161.0,1069.0,1151.0
BS,Riehen,1575.0,1651.0,1785.0,2038.0,2146.0,2576.0,3185.0,4227.0,6393.0,7415.0,12402.0,18077.0,21026.0,20611.0,19914.0,20370.0
